BBC_Title,response,cause,effect,is_causal
Israel orders evacuations from city in south Gaza as offensive widens,"{'cause': 'offensive widens', 'effect': 'Israel orders evacuations from city in south Gaza', 'is_causal': True}",offensive widens,Israel orders evacuations from city in south Gaza,True
Gaza war: Premature babies evacuated from al-Shifa hospital,"{'cause': 'Gaza war', 'effect': 'Premature babies evacuated from al-Shifa hospital', 'is_causal': 'True'}",Gaza war,Premature babies evacuated from al-Shifa hospital,True
Turkey Israel: 'Seven arrested for passing information to Mossad',"{'cause': 'passing information to Mossad', 'effect': 'Seven arrested', 'is_causal': True}",passing information to Mossad,Seven arrested,True
Hamas deputy leader Saleh al-Arouri killed in Beirut blast,"{'cause': 'Beirut blast', 'effect': 'Hamas deputy leader Saleh al-Arouri killed', 'is_causal': True}",Beirut blast,Hamas deputy leader Saleh al-Arouri killed,True
Netanyahu says Israel 'not successful' at minimising Gaza casualties but blames Hamas,"{'cause': ""Netanyahu says Israel 'not successful' at minimising Gaza casualties"", 'effect': 'blames Hamas', 'is_causal': True}",Netanyahu says Israel 'not successful' at minimising Gaza casualties,blames Hamas,True
"Israel losing global support over Gaza bombing, Biden says","{'cause': 'Israel losing global support over Gaza bombing', 'effect': 'Biden says', 'is_causal': True}",Israel losing global support over Gaza bombing,Biden says,True
Ahed Tamimi: Israeli forces arrest Palestinian activist in West Bank,"{'cause': 'Israeli forces arrest', 'effect': 'Palestinian activist in West Bank', 'is_causal': 'True'}",Israeli forces arrest,Palestinian activist in West Bank,True
Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war,"{'cause': None, 'effect': None, 'is_causal': False}",,,False
Rashida Tlaib censured over Israel-Gaza comments,"{'cause': 'Israel-Gaza comments', 'effect': 'Rashida Tlaib censured', 'is_causal': True}",Israel-Gaza comments,Rashida Tlaib censured,True
US launches fourth round of strikes on Houthi targets in Yemen,"{'cause': 'US launches fourth round of strikes', 'effect': 'on Houthi targets in Yemen', 'is_causal': True}",US launches fourth round of strikes,on Houthi targets in Yemen,True
ICJ says Israel must prevent genocide in Gaza,"{'cause': 'ICJ says Israel must prevent genocide in Gaza', 'effect': None, 'is_causal': False}",ICJ says Israel must prevent genocide in Gaza,,False
Iran denies involvement in drone strike that killed three US troops,"{'cause': 'drone strike', 'effect': 'three US troops killed', 'is_causal': True}",drone strike,three US troops killed,True
Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True
"Shani Louk: Woman missing after Hamas attack is dead, says mother","{'cause': 'Hamas attack', 'effect': 'Woman missing is dead', 'is_causal': True}",Hamas attack,Woman missing is dead,True
David Cameron worried Israel may have broken international law in Gaza,"{'cause': 'Israel may have broken international law in Gaza', 'effect': 'David Cameron worried', 'is_causal': True}",Israel may have broken international law in Gaza,David Cameron worried,True
Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True
Israel to fight South Africa's Gaza genocide claim in court,"{'cause': ""South Africa's Gaza genocide claim"", 'effect': 'Israel to fight', 'is_causal': True}",South Africa's Gaza genocide claim,Israel to fight,True
Wael Al-Dahdouh: Al Jazeera reporter's family killed in Gaza strike,"{'cause': 'Gaza strike', 'effect': ""Al Jazeera reporter's family killed"", 'is_causal': True}",Gaza strike,Al Jazeera reporter's family killed,True
Palestinians must be able to stay in Gaza - Blinken,"{'cause': 'Palestinians must be able to stay in Gaza', 'effect': None, 'is_causal': False}",Palestinians must be able to stay in Gaza,,False
Israel hostages: IDF says it mistakenly killed three men held in Gaza,"{'cause': 'IDF says it mistakenly', 'effect': 'killed three men held in Gaza', 'is_causal': True}",IDF says it mistakenly,killed three men held in Gaza,True
Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True
"Israel-Hamas truce in Gaza extended for two days, Qatar says","{'cause': 'Israel-Hamas truce in Gaza', 'effect': 'extended for two days', 'is_causal': True}",Israel-Hamas truce in Gaza,extended for two days,True
Who was Hamas leader Saleh al-Arouri killed in Beirut?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Al Jazeera bureau chief's son Hamza al-Dahdouh among journalists killed in Gaza,"{'cause': None, 'effect': ""Al Jazeera bureau chief's son Hamza al-Dahdouh among journalists killed in Gaza"", 'is_causal': False}",,Al Jazeera bureau chief's son Hamza al-Dahdouh among journalists killed in Gaza,False
Israel says it mistakenly killed three hostages in Gaza campaign,"{'cause': ""Israel's actions in the Gaza campaign"", 'effect': 'killed three hostages', 'is_causal': True}",Israel's actions in the Gaza campaign,killed three hostages,True
Iran seizes oil tanker St Nikolas near Oman,"{'cause': 'Iran seizes oil tanker', 'effect': 'St Nikolas near Oman', 'is_causal': 'True'}",Iran seizes oil tanker,St Nikolas near Oman,True
ICJ says Israel must prevent genocide in Gaza,"{'cause': 'ICJ says Israel must prevent genocide in Gaza', 'effect': None, 'is_causal': False}",ICJ says Israel must prevent genocide in Gaza,,False
Qatar 'appalled' by reported criticism from Israel's Netanyahu,"{'cause': ""reported criticism from Israel's Netanyahu"", 'effect': ""Qatar 'appalled'"", 'is_causal': True}",reported criticism from Israel's Netanyahu,Qatar 'appalled',True
US drone attack: What is Tower 22 and why are US troops in Jordan?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Netanyahu says Israel will have security control over Gaza after war,"{'cause': 'war', 'effect': 'Israel will have security control over Gaza', 'is_causal': True}",war,Israel will have security control over Gaza,True
Three Israelis killed by Palestinian gunmen at Jerusalem bus stop,"{'cause': 'Palestinian gunmen', 'effect': 'Three Israelis killed', 'is_causal': True}",Palestinian gunmen,Three Israelis killed,True
"US approves plan to strike Iranian targets in Syria and Iraq, officials say","{'cause': 'US approves plan', 'effect': 'to strike Iranian targets in Syria and Iraq', 'is_causal': True}",US approves plan,to strike Iranian targets in Syria and Iraq,True
Hamas deputy leader Saleh al-Arouri killed in Beirut blast,"{'cause': 'Beirut blast', 'effect': 'Hamas deputy leader Saleh al-Arouri killed', 'is_causal': True}",Beirut blast,Hamas deputy leader Saleh al-Arouri killed,True
UN: Thousands in Gaza break into warehouses in search of aid,"{'cause': 'Thousands in Gaza break into warehouses', 'effect': 'in search of aid', 'is_causal': True}",Thousands in Gaza break into warehouses,in search of aid,True
Al-Shifa: What we know about Israel's raid on Gaza's main hospital,"{'cause': ""Israel's raid"", 'effect': ""on Gaza's main hospital"", 'is_causal': True}",Israel's raid,on Gaza's main hospital,True
Egypt election: President Sisi wins third term,"{'cause': 'President Sisi wins', 'effect': 'third term', 'is_causal': True}",President Sisi wins,third term,True
Jabalia: Israel air strike reportedly kills dozens at Gaza refugee camp,"{'cause': 'Israel air strike', 'effect': 'reportedly kills dozens at Gaza refugee camp', 'is_causal': True}",Israel air strike,reportedly kills dozens at Gaza refugee camp,True
"Israeli strike in Syria kills Iranian commander, Iran says","{'cause': 'Israeli strike in Syria', 'effect': 'kills Iranian commander', 'is_causal': True}",Israeli strike in Syria,kills Iranian commander,True
Yemen strikes: Houthis hit US-owned ship after 'terror' designation,"{'cause': ""after 'terror' designation"", 'effect': 'Houthis hit US-owned ship', 'is_causal': True}",after 'terror' designation,Houthis hit US-owned ship,True
Israel says South Africa distorting the truth in ICJ genocide case,"{'cause': 'South Africa distorting the truth', 'effect': 'Israel says', 'is_causal': 'True'}",South Africa distorting the truth,Israel says,True
Saleh al-Arouri: Thousands attend Hamas deputy leader's funeral in Beirut,"{'cause': ""Hamas deputy leader's death"", 'effect': 'Thousands attend funeral in Beirut', 'is_causal': True}",Hamas deputy leader's death,Thousands attend funeral in Beirut,True
Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True
Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost,"{'cause': 'Israel-Gaza war', 'effect': 'US backs UN Security Council vote on Gaza aid boost', 'is_causal': True}",Israel-Gaza war,US backs UN Security Council vote on Gaza aid boost,True
"Daily toll on Gazan civilians, especially children, 'far too high' - Blinken","{'cause': 'Daily toll on Gazan civilians, especially children', 'effect': 'far too high', 'is_causal': True}","Daily toll on Gazan civilians, especially children",far too high,True
Al-Shifa: WHO says Gaza hospital unable to bury dead bodies,"{'cause': 'WHO says', 'effect': 'Gaza hospital unable to bury dead bodies', 'is_causal': True}",WHO says,Gaza hospital unable to bury dead bodies,True
Israel-Gaza war: Blinken says cost of conflict on children far too high,"{'cause': 'Israel-Gaza war', 'effect': 'cost of conflict on children far too high', 'is_causal': True}",Israel-Gaza war,cost of conflict on children far too high,True
US says strikes on Iran-linked targets in Iraq and Syria just 'the beginning' - live updates,"{'cause': 'strikes on Iran-linked targets in Iraq and Syria', 'effect': ""US says it's just 'the beginning'"", 'is_causal': True}",strikes on Iran-linked targets in Iraq and Syria,US says it's just 'the beginning',True
MK Strinda: Yemen's rebel Houthis hit Norwegian tanker with missile,"{'cause': ""Yemen's rebel Houthis hit Norwegian tanker with missile"", 'effect': None, 'is_causal': False}",Yemen's rebel Houthis hit Norwegian tanker with missile,,False
Israel finds second hostage body near Al-Shifa hospital,"{'cause': 'Israel finds second hostage body', 'effect': 'near Al-Shifa hospital', 'is_causal': False}",Israel finds second hostage body,near Al-Shifa hospital,False
Gaza strikes: Hamas-run health ministry says 700 killed in 24 hours,"{'cause': 'Gaza strikes', 'effect': '700 killed in 24 hours', 'is_causal': True}",Gaza strikes,700 killed in 24 hours,True
Three US soldiers killed in Jordan attack named,"{'cause': 'Jordan attack', 'effect': 'Three US soldiers killed', 'is_causal': True}",Jordan attack,Three US soldiers killed,True
Video shows stripped Palestinian men detained in Gaza,"{'cause': None, 'effect': 'Video shows stripped Palestinian men detained in Gaza', 'is_causal': False}",,Video shows stripped Palestinian men detained in Gaza,False
Dozens reported killed in Gaza refugee camp blast,"{'cause': 'blast', 'effect': 'Dozens reported killed', 'is_causal': True}",blast,Dozens reported killed,True
South Africa's genocide case against Israel: Both sides play heavy on emotion in ICJ hearing,"{'cause': 'Both sides play heavy on emotion', 'effect': 'ICJ hearing', 'is_causal': False}",Both sides play heavy on emotion,ICJ hearing,False
"Tanker hit off India coast by drone from Iran, says US","{'cause': 'drone from Iran', 'effect': 'Tanker hit off India coast', 'is_causal': True}",drone from Iran,Tanker hit off India coast,True
Israeli minister outlines plans for Gaza after war,"{'cause': 'war', 'effect': 'plans for Gaza', 'is_causal': True}",war,plans for Gaza,True
"Untreated diseases could kill more than bombings in Gaza, WHO warns","{'cause': 'Untreated diseases', 'effect': 'could kill more than bombings in Gaza', 'is_causal': True}",Untreated diseases,could kill more than bombings in Gaza,True
Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
"Israel-Hamas truce in Gaza extended for two days, Qatar says","{'cause': 'Qatar says', 'effect': 'Israel-Hamas truce in Gaza extended for two days', 'is_causal': True}",Qatar says,Israel-Hamas truce in Gaza extended for two days,True
Oil prices rise after Iran seizes tanker,"{'cause': 'Iran seizes tanker', 'effect': 'Oil prices rise', 'is_causal': True}",Iran seizes tanker,Oil prices rise,True
Houthis claim new attacks on Red Sea shipping,"{'cause': 'Houthis claim new attacks', 'effect': 'on Red Sea shipping', 'is_causal': True}",Houthis claim new attacks,on Red Sea shipping,True
Three US soldiers killed in Jordan attack named,"{'cause': 'Jordan attack', 'effect': 'Three US soldiers killed', 'is_causal': True}",Jordan attack,Three US soldiers killed,True
BBC goes inside Al-Shifa hospital with the Israeli army,"{'cause': None, 'effect': None, 'is_causal': False}",,,False
Israel says South Africa distorting the truth in ICJ genocide case,"{'cause': 'South Africa distorting the truth', 'effect': 'Israel says', 'is_causal': 'True'}",South Africa distorting the truth,Israel says,True
Drone attack kills six Kurdish-led fighters at US base in east Syria,"{'cause': 'Drone attack', 'effect': 'kills six Kurdish-led fighters', 'is_causal': True}",Drone attack,kills six Kurdish-led fighters,True
Shapps 'disappointed' by Netanyahu opposition to Palestinian state,"{'cause': 'Netanyahu opposition to Palestinian state', 'effect': ""Shapps 'disappointed'"", 'is_causal': True}",Netanyahu opposition to Palestinian state,Shapps 'disappointed',True
Gaza war: Premature babies evacuated from al-Shifa hospital,"{'cause': 'Gaza war', 'effect': 'Premature babies evacuated from al-Shifa hospital', 'is_causal': True}",Gaza war,Premature babies evacuated from al-Shifa hospital,True
Egypt opens Gaza border crossing to evacuate injured and foreign nationals,"{'cause': 'Egypt opens Gaza border crossing', 'effect': 'to evacuate injured and foreign nationals', 'is_causal': True}",Egypt opens Gaza border crossing,to evacuate injured and foreign nationals,True
Two Palestinian boys killed during Israeli raid in West Bank,"{'cause': 'Israeli raid in West Bank', 'effect': 'Two Palestinian boys killed', 'is_causal': True}",Israeli raid in West Bank,Two Palestinian boys killed,True
Putin makes rare foreign trip to Gulf states,"{'cause': None, 'effect': None, 'is_causal': False}",,,False
Israeli forces detain director of Gaza's al-Shifa Hospital,"{'cause': 'Israeli forces detain', 'effect': ""director of Gaza's al-Shifa Hospital"", 'is_causal': True}",Israeli forces detain,director of Gaza's al-Shifa Hospital,True
US drone attack: Three US troops killed in drone strike on US base in Middle East,"{'cause': 'drone strike', 'effect': 'Three US troops killed', 'is_causal': True}",drone strike,Three US troops killed,True
Israel's Netanyahu condemns 'cruel' Hamas video of Israeli hostages,"{'cause': 'Hamas video of Israeli hostages', 'effect': ""Israel's Netanyahu condemns"", 'is_causal': True}",Hamas video of Israeli hostages,Israel's Netanyahu condemns,True
Israel-Hamas truce in Gaza extended as more hostages freed,"{'cause': 'more hostages freed', 'effect': 'Israel-Hamas truce in Gaza extended', 'is_causal': True}",more hostages freed,Israel-Hamas truce in Gaza extended,True
Houthis defiant after warning over Red Sea attacks,"{'cause': 'warning over Red Sea attacks', 'effect': 'Houthis defiant', 'is_causal': True}",warning over Red Sea attacks,Houthis defiant,True
