Alj_Title,response,cause,effect,is_causal
Turkey arrests seven suspected of selling information to Israel’s Mossad,"{'cause': 'suspected of selling information to Israel’s Mossad', 'effect': 'Turkey arrests seven', 'is_causal': True}",suspected of selling information to Israel’s Mossad,Turkey arrests seven,True
"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': 'None', 'effect': 'None', 'is_causal': 'False'}",None,None,False
Israel ‘not successful’ in minimising Gaza civilian casualties: Netanyahu,"{'cause': 'Israel not successful in minimising Gaza civilian casualties', 'effect': None, 'is_causal': False}",Israel not successful in minimising Gaza civilian casualties,,False
Biden warns Israel risks losing support over ‘indiscriminate’ Gaza bombing,"{'cause': 'indiscriminate Gaza bombing', 'effect': 'Israel risks losing support', 'is_causal': True}",indiscriminate Gaza bombing,Israel risks losing support,True
Israel arrests Palestinian activist Ahed Tamimi in occupied West Bank raids,"{'cause': 'occupied West Bank raids', 'effect': 'Israel arrests Palestinian activist Ahed Tamimi', 'is_causal': True}",occupied West Bank raids,Israel arrests Palestinian activist Ahed Tamimi,True
Hezbollah’s Hassan Nasrallah speech on Israel-Hamas war: Key takeaways,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
US House votes to censure Rashida Tlaib over Israel-Hamas war comments,"{'cause': 'Israel-Hamas war comments', 'effect': 'US House votes to censure Rashida Tlaib', 'is_causal': True}",Israel-Hamas war comments,US House votes to censure Rashida Tlaib,True
US launches new strikes on Houthi targets in Yemen,"{'cause': 'US launches new strikes', 'effect': 'on Houthi targets in Yemen', 'is_causal': True}",US launches new strikes,on Houthi targets in Yemen,True
ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,"{'cause': 'ICJ rules Israel must prevent acts of genocide in Gaza', 'effect': None, 'is_causal': False}",ICJ rules Israel must prevent acts of genocide in Gaza,,False
Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,"{'cause': 'drone attack', 'effect': 'killed 3 US soldiers', 'is_causal': True}",drone attack,killed 3 US soldiers,True
Al Jazeera condemns Israeli forces killing of cameraman Samer Abudaqa,"{'cause': 'Israeli forces killing of cameraman Samer Abudaqa', 'effect': 'Al Jazeera condemns', 'is_causal': True}",Israeli forces killing of cameraman Samer Abudaqa,Al Jazeera condemns,True
"Israel says German-Israeli woman Shani Louk, taken by Hamas, is dead","{'cause': 'taken by Hamas', 'effect': 'is dead', 'is_causal': True}",taken by Hamas,is dead,True
British FM ‘worried’ Israel may have breached international law in Gaza,"{'cause': 'Israel may have breached international law in Gaza', 'effect': 'British FM ‘worried’', 'is_causal': True}",Israel may have breached international law in Gaza,British FM ‘worried’,True
Al Jazeera journalist Samer Abudaqa killed in Israeli attack in Gaza,"{'cause': 'Israeli attack in Gaza', 'effect': 'Al Jazeera journalist Samer Abudaqa killed', 'is_causal': True}",Israeli attack in Gaza,Al Jazeera journalist Samer Abudaqa killed,True
Israel promises to fight South Africa genocide accusation at ICJ,"{'cause': 'Israel promises to fight', 'effect': 'fight South Africa genocide accusation at ICJ', 'is_causal': 'True'}",Israel promises to fight,fight South Africa genocide accusation at ICJ,True
Al Jazeera condemns Israeli killing of journalist Wael Al-Dahdouh’s family,"{'cause': 'Israeli killing of journalist Wael Al-Dahdouh’s family', 'effect': 'Al Jazeera condemns', 'is_causal': True}",Israeli killing of journalist Wael Al-Dahdouh’s family,Al Jazeera condemns,True
Blinken says Palestinians displaced in Gaza must be able to return home,"{'cause': 'Palestinians displaced in Gaza', 'effect': 'must be able to return home', 'is_causal': True}",Palestinians displaced in Gaza,must be able to return home,True
Israeli army says it mistakenly killed three captives held in Gaza,"{'cause': 'Israeli army says it mistakenly', 'effect': 'killed three captives held in Gaza', 'is_causal': True}",Israeli army says it mistakenly,killed three captives held in Gaza,True
‘A wonderful human’: Al Jazeera colleagues remember Samer Abudaqa,"{'cause': None, 'effect': None, 'is_causal': False}",,,False
"Israel and Hamas agree to extend truce by two days, Qatar says","{'cause': 'Israel and Hamas agree to extend truce', 'effect': 'truce extended by two days', 'is_causal': True}",Israel and Hamas agree to extend truce,truce extended by two days,True
Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"{'cause': 'killed', 'effect': 'Senior Hamas official Saleh al-Arouri', 'is_causal': 'True'}",killed,Senior Hamas official Saleh al-Arouri,True
"Hamza, son of Al Jazeera’s Wael Dahdouh, killed in Israeli attack in Gaza","{'cause': 'Israeli attack in Gaza', 'effect': 'Hamza, son of Al Jazeera’s Wael Dahdouh, killed', 'is_causal': True}",Israeli attack in Gaza,"Hamza, son of Al Jazeera’s Wael Dahdouh, killed",True
Israeli army says it mistakenly killed three captives held in Gaza,"{'cause': 'Israeli army says it mistakenly', 'effect': 'killed three captives held in Gaza', 'is_causal': True}",Israeli army says it mistakenly,killed three captives held in Gaza,True
Iran seizes oil tanker off Oman in dispute with US,"{'cause': 'dispute with US', 'effect': 'Iran seizes oil tanker off Oman', 'is_causal': True}",dispute with US,Iran seizes oil tanker off Oman,True
ICJ orders Israel to prevent acts of genocide in Gaza,"{'cause': 'ICJ orders Israel', 'effect': 'to prevent acts of genocide in Gaza', 'is_causal': True}",ICJ orders Israel,to prevent acts of genocide in Gaza,True
Qatar ‘appalled’ at alleged Netanyahu criticism of mediation in Gaza war,"{'cause': 'alleged Netanyahu criticism of mediation in Gaza war', 'effect': 'Qatar ‘appalled’', 'is_causal': True}",alleged Netanyahu criticism of mediation in Gaza war,Qatar ‘appalled’,True
"What is Tower 22, the Jordan-based US outpost targeted in a drone strike?","{'cause': 'a drone strike', 'effect': 'the Jordan-based US outpost targeted', 'is_causal': 'True'}",a drone strike,the Jordan-based US outpost targeted,True
Netanyahu says Israel to manage Gaza’s security indefinitely after the war,"{'cause': 'the war', 'effect': 'Israel to manage Gaza’s security indefinitely', 'is_causal': True}",the war,Israel to manage Gaza’s security indefinitely,True
"Three killed, several injured in shooting at Jerusalem bus stop","{'cause': 'shooting at Jerusalem bus stop', 'effect': 'Three killed, several injured', 'is_causal': True}",shooting at Jerusalem bus stop,"Three killed, several injured",True
"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report","{'cause': 'US approves plan for strikes', 'effect': 'on Iran-linked targets in Iraq, Syria', 'is_causal': True}",US approves plan for strikes,"on Iran-linked targets in Iraq, Syria",True
Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"{'cause': None, 'effect': 'Senior Hamas official Saleh al-Arouri killed', 'is_causal': False}",,Senior Hamas official Saleh al-Arouri killed,False
"Palestinians break into Gaza UN aid warehouses as toll tops 8,000","{'cause': 'Palestinians break into Gaza UN aid warehouses', 'effect': 'toll tops 8,000', 'is_causal': True}",Palestinians break into Gaza UN aid warehouses,"toll tops 8,000",True
Israel’s raid on Gaza’s al-Shifa Hospital: Here’s what you need to know,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
President el-Sisi declared victorious in Egypt election,"{'cause': 'President el-Sisi declared victorious', 'effect': 'in Egypt election', 'is_causal': 'False'}",President el-Sisi declared victorious,in Egypt election,False
Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,"{'cause': 'Israeli air attack', 'effect': 'Dozens killed', 'is_causal': True}",Israeli air attack,Dozens killed,True
Israeli air strike in Syria kills top Iranian military adviser,"{'cause': 'Israeli air strike in Syria', 'effect': 'kills top Iranian military adviser', 'is_causal': True}",Israeli air strike in Syria,kills top Iranian military adviser,True
"Yemen’s Houthis hit US-owned ship in missile attack, US military says","{'cause': 'Yemen’s Houthis hit US-owned ship in missile attack', 'effect': None, 'is_causal': False}",Yemen’s Houthis hit US-owned ship in missile attack,,False
ICJ hears South Africa’s genocide case against Israel over Gaza war,"{'cause': 'South Africa’s genocide case against Israel over Gaza war', 'effect': 'ICJ hears', 'is_causal': True}",South Africa’s genocide case against Israel over Gaza war,ICJ hears,True
"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Al Jazeera to refer journalist Samer Abudaqa’s killing to ICC,"{'cause': 'journalist Samer Abudaqa’s killing', 'effect': 'Al Jazeera to refer to ICC', 'is_causal': True}",journalist Samer Abudaqa’s killing,Al Jazeera to refer to ICC,True
"Gaza death toll surpasses 20,000 as UN Security Council delays vote on aid","{'cause': 'UN Security Council delays vote on aid', 'effect': 'Gaza death toll surpasses 20,000', 'is_causal': True}",UN Security Council delays vote on aid,"Gaza death toll surpasses 20,000",True
Blinken says civilian death toll in Gaza ‘far too high’,"{'cause': 'civilian death toll in Gaza', 'effect': 'is far too high', 'is_causal': True}",civilian death toll in Gaza,is far too high,True
Gaza’s al-Shifa Hospital forced to bury dead patients in ‘mass grave’,"{'cause': 'Gaza’s al-Shifa Hospital', 'effect': 'forced to bury dead patients in ‘mass grave’', 'is_causal': True}",Gaza’s al-Shifa Hospital,forced to bury dead patients in ‘mass grave’,True
Blinken says civilian death toll in Gaza ‘far too high’,"{'cause': 'civilian death toll in Gaza', 'effect': 'is far too high', 'is_causal': 'True'}",civilian death toll in Gaza,is far too high,True
"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report","{'cause': 'US approves plan', 'effect': 'strikes on Iran-linked targets in Iraq, Syria', 'is_causal': True}",US approves plan,"strikes on Iran-linked targets in Iraq, Syria",True
Yemen’s Houthis claim missile attack on Norwegian ship Strinda,"{'cause': 'Yemen’s Houthis claim missile attack', 'effect': 'on Norwegian ship Strinda', 'is_causal': True}",Yemen’s Houthis claim missile attack,on Norwegian ship Strinda,True
Israel raids Gaza’s al-Shifa Hospital for second day,"{'cause': 'Israel raids Gaza’s al-Shifa Hospital for second day', 'effect': None, 'is_causal': False}",Israel raids Gaza’s al-Shifa Hospital for second day,,False
Gaza hospital generators to run out of fuel in 48 hours: Health Ministry,"{'cause': 'Gaza hospital generators running out of fuel', 'effect': 'hospital operations will likely be severely impacted or shut down', 'is_causal': True}",Gaza hospital generators running out of fuel,hospital operations will likely be severely impacted or shut down,True
"Three US service members killed in Jordan drone attack, Biden says","{'cause': 'Jordan drone attack', 'effect': 'Three US service members killed', 'is_causal': True}",Jordan drone attack,Three US service members killed,True
"Palestinians detained by Israel in Gaza blindfolded, stripped to underwear","{'cause': 'detained by Israel in Gaza', 'effect': 'blindfolded, stripped to underwear', 'is_causal': True}",detained by Israel in Gaza,"blindfolded, stripped to underwear",True
Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,"{'cause': 'Israeli air attack', 'effect': 'Dozens killed', 'is_causal': True}",Israeli air attack,Dozens killed,True
ICJ hears South Africa’s genocide case against Israel over Gaza war,"{'cause': 'Gaza war', 'effect': 'ICJ hears South Africa’s genocide case against Israel', 'is_causal': True}",Gaza war,ICJ hears South Africa’s genocide case against Israel,True
Iran dismisses US accusations of tanker attack off India,"{'cause': 'US accusations of tanker attack off India', 'effect': 'Iran dismisses', 'is_causal': True}",US accusations of tanker attack off India,Iran dismisses,True
Israeli defence minister outlines new phase in Gaza war,"{'cause': 'Israeli defence minister outlines new phase', 'effect': 'in Gaza war', 'is_causal': 'True'}",Israeli defence minister outlines new phase,in Gaza war,True
"Disease could kill more in Gaza than bombs, WHO says amid Israeli siege","{'cause': 'Israeli siege', 'effect': 'Disease could kill more in Gaza', 'is_causal': True}",Israeli siege,Disease could kill more in Gaza,True
‘All scenarios open’: Hezbollah chief in first speech since Israel-Gaza war,"{'cause': 'Israel-Gaza war', 'effect': 'Hezbollah chief giving his first speech', 'is_causal': True}",Israel-Gaza war,Hezbollah chief giving his first speech,True
"CIA, Mossad chiefs meet in Qatar as Israel-Hamas truce is extended","{'cause': 'Israel-Hamas truce is extended', 'effect': 'CIA, Mossad chiefs meet in Qatar', 'is_causal': True}",Israel-Hamas truce is extended,"CIA, Mossad chiefs meet in Qatar",True
Iran seizes oil tanker off Oman in dispute with US,"{'cause': 'dispute with US', 'effect': 'Iran seizes oil tanker off Oman', 'is_causal': True}",dispute with US,Iran seizes oil tanker off Oman,True
"Defiant Houthis claim fresh Red Sea attacks on US, UK ships","{'cause': 'Defiant Houthis claim fresh Red Sea attacks', 'effect': 'attacks on US, UK ships', 'is_causal': True}",Defiant Houthis claim fresh Red Sea attacks,"attacks on US, UK ships",True
Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,"{'cause': 'drone attack', 'effect': 'killed 3 US soldiers', 'is_causal': True}",drone attack,killed 3 US soldiers,True
Why is Gaza’s al-Shifa Hospital so important for the Israeli army?,"{'cause': 'None', 'effect': 'None', 'is_causal': 'False'}",None,None,False
Namibia condemns Germany for defending Israel in ICJ genocide case,"{'cause': 'Germany defending Israel in ICJ genocide case', 'effect': 'Namibia condemns Germany', 'is_causal': True}",Germany defending Israel in ICJ genocide case,Namibia condemns Germany,True
Attack on Syrian US base kills Kurdish fighters as regional tension simmers,"{'cause': 'Attack on Syrian US base', 'effect': 'kills Kurdish fighters', 'is_causal': True}",Attack on Syrian US base,kills Kurdish fighters,True
Israel’s Netanyahu doubles down on opposition to Palestinian statehood,"{'cause': 'Netanyahu doubles down on opposition', 'effect': 'to Palestinian statehood', 'is_causal': True}",Netanyahu doubles down on opposition,to Palestinian statehood,True
Group of 28 premature Gaza babies evacuated to Egypt amid Israeli attacks,"{'cause': 'Israeli attacks', 'effect': 'Group of 28 premature Gaza babies evacuated to Egypt', 'is_causal': True}",Israeli attacks,Group of 28 premature Gaza babies evacuated to Egypt,True
Rafah crossing linking war-torn Gaza to Egypt opens,"{'cause': 'war', 'effect': 'Rafah crossing linking Gaza to Egypt opens', 'is_causal': False}",war,Rafah crossing linking Gaza to Egypt opens,False
Israeli forces kill two Palestinian children in occupied West Bank raid,"{'cause': 'Israeli forces raid', 'effect': 'kill two Palestinian children', 'is_causal': True}",Israeli forces raid,kill two Palestinian children,True
Putin makes rare trip to Middle East to meet with UAE and Saudi leaders,"{'cause': None, 'effect': None, 'is_causal': False}",,,False
"Israeli army arrests al-Shifa Hospital director, other doctors in Gaza","{'cause': 'Israeli army arrests', 'effect': 'al-Shifa Hospital director, other doctors in Gaza', 'is_causal': True}",Israeli army arrests,"al-Shifa Hospital director, other doctors in Gaza",True
"Three US service members killed in Jordan drone attack, Biden says","{'cause': 'Jordan drone attack', 'effect': 'Three US service members killed', 'is_causal': True}",Jordan drone attack,Three US service members killed,True
Hamas releases video of three Gaza hostages addressing Netanyahu,"{'cause': 'Hamas releases video of three Gaza hostages', 'effect': 'addressing Netanyahu', 'is_causal': True}",Hamas releases video of three Gaza hostages,addressing Netanyahu,True
"CIA, Mossad chiefs meet in Qatar as Israel-Hamas truce is extended","{'cause': 'Israel-Hamas truce is extended', 'effect': 'CIA, Mossad chiefs meet in Qatar', 'is_causal': True}",Israel-Hamas truce is extended,"CIA, Mossad chiefs meet in Qatar",True
US-led coalition warns Houthis of ‘consequences’ after Red Sea attacks,"{'cause': 'Red Sea attacks', 'effect': 'US-led coalition warns Houthis of ‘consequences’', 'is_causal': True}",Red Sea attacks,US-led coalition warns Houthis of ‘consequences’,True
