,aj_id,aj_date,cnn_id,cnn_date,cosine_similarity,aj_title,cnn_title,match
1562,257,02/01/2024,3942,02/01/2024,0.717176557,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"Senior Hamas leader killed in Beirut blast, heightening fears of wider regional conflict",1
1588,262,02/01/2024,3943,02/01/2024,0.702240884,What’s next for Netanyahu after top court ruling against judicial overhaul?,"Israel’s Supreme Court deals huge blow to Netanyahu, but one he may have to swallow",0
1604,265,01/01/2024,3945,01/01/2024,0.743176222,Israel says it will pull out thousands of troops from Gaza,Israel to withdraw some troops from Gaza but expects fighting will continue through 2024,1
1657,282,29/12/2023,3947,29/12/2023,0.850206971,South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza,South Africa files genocide case against Israel at International Court of Justice over Gaza war,1
1748,316,25/12/2023,3951,24/12/2023,0.760141253,‘Massacre’ as Israel steps up Gaza bombardment for Christmas,"With war raging in Gaza, Christmas is effectively canceled in Bethlehem",1
1758,323,24/12/2023,3951,24/12/2023,0.735629141,"What are Palestine’s unique Christmas rituals, disrupted by Israel’s war?","With war raging in Gaza, Christmas is effectively canceled in Bethlehem",0
1782,333,22/12/2023,3954,21/12/2023,0.721936762,UN Security Council passes resolution on increased Gaza aid delivery,"UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",0
1795,335,22/12/2023,3952,22/12/2023,0.705641627,What’s the latest UN Gaza resolution that the US has agreed to?,UN Security Council passes compromise resolution on Israel-Hamas war as US abstains,0
1796,335,22/12/2023,3954,21/12/2023,0.717399776,What’s the latest UN Gaza resolution that the US has agreed to?,"UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",0
1803,336,22/12/2023,3954,21/12/2023,0.790134013,US ready to back diluted resolution on more aid to Gaza as UN vote delayed,"UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",1
1856,342,21/12/2023,3952,22/12/2023,0.714429915,Will the US again veto the UNSC resolution on Gaza?,UN Security Council passes compromise resolution on Israel-Hamas war as US abstains,0
1897,346,21/12/2023,3954,21/12/2023,0.706985354,"UNSC struggles with Gaza truce vote delays, Israel orders mass evacuations","UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",0
1918,348,21/12/2023,3955,21/12/2023,0.758343458,"Meta ‘stifling’ pro-Palestine voices on social media, rights group says",Human rights group accuses Meta of restricting pro-Palestine speech,1
2016,354,20/12/2023,3964,20/12/2023,0.742892206,Malaysia bans Israel-flagged ships from its ports in response to Gaza war,Malaysia bans Israeli owned and linked shipping citing ‘cruelty against the Palestinian people’,1
2246,386,15/12/2023,3973,15/12/2023,0.745381951,Israeli army says it mistakenly killed three captives held in Gaza,IDF accidentally shoots and kills three Israelis held hostage in Gaza,1
2252,387,15/12/2023,3922,15/12/2023,0.740209401,Al Jazeera condemns Israeli forces killing of cameraman Samer Abudaqa,"Al Jazeera cameraman dies after Israeli attack in southern Gaza, network says",0
2288,391,15/12/2023,3922,15/12/2023,0.75081563,Al Jazeera journalist Samer Abudaqa killed in Israeli attack in Gaza,"Al Jazeera cameraman dies after Israeli attack in southern Gaza, network says",1
2593,414,13/12/2023,3986,12/12/2023,0.787534237,UNGA demands ceasefire in Israel’s war on Gaza: How your country voted,UN General Assembly votes to demand immediate ceasefire in Gaza,0
2873,453,08/12/2023,3995,07/12/2023,0.70919019,"Palestinians detained by Israel in Gaza blindfolded, stripped to underwear",Images from Gaza show Israeli soldiers detaining dozens of men stripped to underwear,1
3051,473,06/12/2023,4008,05/12/2023,0.780949891,UN warns of ‘horror’ and ‘atrocities’ as Israel steps up Gaza assault,Israel expands war into southern Gaza as UN warns of ‘blatant disregard for basic humanity’,1
3264,490,04/12/2023,4014,03/12/2023,0.770825207,"Telecommunications, internet down in Gaza as Israeli strikes intensify","When Gaza lost phone and internet connection under Israeli attack, this activist found a way to get Palestinians back online",0
3420,504,02/12/2023,4017,02/12/2023,0.728893399,Israel pulls Mossad negotiators from Qatar after ‘impasse’ over captives,Israel recalls negotiators after reaching ‘dead end’ in Qatar talks,1
3484,510,02/12/2023,4021,01/12/2023,0.725797892,"Israel-Hamas war: List of key events, day 57",What did Israel know about Hamas’ October 7 attack?,0
3548,516,01/12/2023,4020,01/12/2023,0.743093073,The Israel-Hamas truce has ended: What we know so far,"Truce could be renewed if Hamas provides list of hostages for release, sources say",0
3550,516,01/12/2023,4023,01/12/2023,0.879471779,The Israel-Hamas truce has ended: What we know so far,The Israel-Hamas truce is over. Here’s what could happen next,1
3553,516,01/12/2023,4026,30/11/2023,0.849510312,The Israel-Hamas truce has ended: What we know so far,How the truce between Israel and Hamas was extended another day – and why it could end soon,0
3562,517,01/12/2023,4023,01/12/2023,0.71053195,Mediators push to renew truce as Israel-Hamas war resumes in Gaza,The Israel-Hamas truce is over. Here’s what could happen next,0
3598,520,01/12/2023,4023,01/12/2023,0.701761365,"Analysis: Why Israel’s military wanted to end the Gaza truce, and what now?",The Israel-Hamas truce is over. Here’s what could happen next,0
3601,520,01/12/2023,4026,30/11/2023,0.774552822,"Analysis: Why Israel’s military wanted to end the Gaza truce, and what now?",How the truce between Israel and Hamas was extended another day – and why it could end soon,0
3680,527,30/11/2023,4025,30/11/2023,0.750732124,"Three killed, several injured in shooting at Jerusalem bus stop",Hamas says its militants killed three people at Jerusalem bus stop,1
3705,529,30/11/2023,4026,30/11/2023,0.800073504,Israel and Hamas agree to extend truce for seventh day,How the truce between Israel and Hamas was extended another day – and why it could end soon,1
3726,531,29/11/2023,4026,30/11/2023,0.827558637,Analysis: Why extending the Israel-Hamas truce won’t be easy,How the truce between Israel and Hamas was extended another day – and why it could end soon,0
3798,537,29/11/2023,4026,30/11/2023,0.788467228,Intensive talks under way to extend Israel-Hamas truce as deadline looms,How the truce between Israel and Hamas was extended another day – and why it could end soon,0
3930,548,28/11/2023,4037,27/11/2023,0.771406174,What do we know about the Israel-Hamas truce extension?,"Deal reached to extend Israel-Hamas truce by two days, Qatar says",0
3972,552,27/11/2023,4037,27/11/2023,0.900242567,"Israel and Hamas agree to extend truce by two days, Qatar says","Deal reached to extend Israel-Hamas truce by two days, Qatar says",1
4001,554,27/11/2023,4043,26/11/2023,0.726059735,Diplomatic dash as end of Israel-Gaza truce looms,Truce gives Gazans moment to breathe – and reveals scale of devastation,0
4022,556,27/11/2023,4040,27/11/2023,0.726963162,"Analysis: Less than a day left on the Gaza pause, what are the prospects?","US pushes for extension of Gaza pause, but the possibility of war raging again looms large",0
4066,560,26/11/2023,4041,26/11/2023,0.820016682,"Three Palestinian students shot in Vermont, US amid Israel-Hamas truce",3 Palestinian students were shot in Vermont. Civil rights groups are calling for a close look at the motive,1
4154,569,25/11/2023,4048,24/11/2023,0.718706787,‘Nothing standing’: Palestinians return to find Gaza homes destroyed,"As fighting pauses, Gazans displaced from north want to return home to bury their dead",0
4176,572,25/11/2023,4043,26/11/2023,0.701687694,"Gaza truce holds into second day, more captives to be released",Truce gives Gazans moment to breathe – and reveals scale of devastation,0
4182,572,25/11/2023,4049,24/11/2023,0.757850647,"Gaza truce holds into second day, more captives to be released","Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",1
4208,576,24/11/2023,4047,24/11/2023,0.717961788,Israel-Hamas four-day truce starts: How day one unfolded,First group of Israelis and Palestinians freed under breakthrough Israel-Hamas truce,0
4210,576,24/11/2023,4049,24/11/2023,0.735897779,Israel-Hamas four-day truce starts: How day one unfolded,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",0
4211,576,24/11/2023,4051,23/11/2023,0.715484023,Israel-Hamas four-day truce starts: How day one unfolded,"Israel-Hamas truce and hostage release will begin on Friday, Qatar says",0
4228,579,24/11/2023,4049,24/11/2023,0.744444013,Hamas releases 24 captives from Gaza as Israel truce comes into effect,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",0
4232,580,24/11/2023,4047,24/11/2023,0.708384156,Hamas releases 24 captives amid Israel truce: Here’s what’s to know,First group of Israelis and Palestinians freed under breakthrough Israel-Hamas truce,1
4234,580,24/11/2023,4049,24/11/2023,0.768828273,Hamas releases 24 captives amid Israel truce: Here’s what’s to know,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",0
4316,591,23/11/2023,4049,24/11/2023,0.753572464,"Israel-Hamas truce, captive release to begin on Friday, Qatar says","Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",0
4318,591,23/11/2023,4051,23/11/2023,0.860679865,"Israel-Hamas truce, captive release to begin on Friday, Qatar says","Israel-Hamas truce and hostage release will begin on Friday, Qatar says",1
4342,593,23/11/2023,4055,22/11/2023,0.727538764,Israel-Hamas deal: What makes a truce lead to lasting peace?,Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,0
4396,599,23/11/2023,4049,24/11/2023,0.720971406,"Israel says truce, captives release will not start ‘before Friday’","Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",0
4398,599,23/11/2023,4051,23/11/2023,0.711532295,"Israel says truce, captives release will not start ‘before Friday’","Israel-Hamas truce and hostage release will begin on Friday, Qatar says",1
4450,604,22/11/2023,4050,22/11/2023,0.736611366,"Anxious, optimistic: Families of female Palestinian prisoners await release",Who are the Palestinian prisoners on Israel’s list for potential release?,0
4467,605,22/11/2023,4055,22/11/2023,0.713026166,Behind the scenes: How the Israel-Hamas truce deal came together,Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,0
4474,606,22/11/2023,4050,22/11/2023,0.781885624,"Israel-Hamas deal: Which captives, Palestinian prisoners could be freed?",Who are the Palestinian prisoners on Israel’s list for potential release?,1
4560,613,22/11/2023,4052,22/11/2023,0.707183123,Israel-Hamas truce deal: All that you need to know,What do we know about the Israel-Hamas hostage deal?,1
4563,613,22/11/2023,4055,22/11/2023,0.735482693,Israel-Hamas truce deal: All that you need to know,Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,0
4583,615,22/11/2023,4051,23/11/2023,0.700207174,"Israel, Hamas agree to truce, paving way for some captives’ release","Israel-Hamas truce and hostage release will begin on Friday, Qatar says",0
4587,615,22/11/2023,4055,22/11/2023,0.781646073,"Israel, Hamas agree to truce, paving way for some captives’ release",Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,1
4679,622,21/11/2023,4052,22/11/2023,0.722286046,"Hamas, Israel leaders suggest deal is ‘close’ on captives, Gaza truce",What do we know about the Israel-Hamas hostage deal?,0
4681,622,21/11/2023,4055,22/11/2023,0.759208918,"Hamas, Israel leaders suggest deal is ‘close’ on captives, Gaza truce",Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,1
4684,622,21/11/2023,4058,21/11/2023,0.744813919,"Hamas, Israel leaders suggest deal is ‘close’ on captives, Gaza truce",Israel considers potential hostage deal with Hamas,0
5193,669,16/11/2023,4072,15/11/2023,0.727493346,"Israel-Gaza: Indonesian Hospital ‘out of service’, inundated with wounded",Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5363,679,16/11/2023,4082,15/11/2023,0.712918162,"Escape from al-Shifa: How a Gaza medic dodged Israeli patrols, snipers",Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5417,683,16/11/2023,4072,15/11/2023,0.757884026,What has Israel ‘found’ in Gaza’s al-Shifa Hospital?,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5427,683,16/11/2023,4082,15/11/2023,0.805097699,What has Israel ‘found’ in Gaza’s al-Shifa Hospital?,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5449,685,16/11/2023,4072,15/11/2023,0.732253909,Israel raids Gaza’s al-Shifa Hospital for second day,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5459,685,16/11/2023,4082,15/11/2023,0.916586399,Israel raids Gaza’s al-Shifa Hospital for second day,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,1
5512,689,15/11/2023,4080,16/11/2023,0.706466436,S Africa: World must urge Israel to stop ‘crime against humanity’ in Gaza,Have war crimes been committed in Israel and Gaza and what laws govern the conflict?,0
5524,690,15/11/2023,4072,15/11/2023,0.781207502,Why is Gaza’s al-Shifa Hospital so important for the Israeli army?,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,1
5529,690,15/11/2023,4082,15/11/2023,0.827159882,Why is Gaza’s al-Shifa Hospital so important for the Israeli army?,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5544,691,15/11/2023,4082,15/11/2023,0.76463151,‘Hospitals are not battlegrounds’: World reacts to Israel’s al-Shifa raid,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5584,694,15/11/2023,4072,15/11/2023,0.758684874,‘Terror’ amid Israel’s raid on Gaza’s al-Shifa Hospital,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5589,694,15/11/2023,4082,15/11/2023,0.873370588,‘Terror’ amid Israel’s raid on Gaza’s al-Shifa Hospital,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,1
5614,696,15/11/2023,4072,15/11/2023,0.766217053,Israel’s raid on Gaza’s al-Shifa Hospital: Here’s what you need to know,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5619,696,15/11/2023,4082,15/11/2023,0.894965529,Israel’s raid on Gaza’s al-Shifa Hospital: Here’s what you need to know,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5644,698,15/11/2023,4072,15/11/2023,0.783875108,Analysis: Israel’s ‘war on hospitals’ vs Hamas military exaggerations,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5659,699,15/11/2023,4072,15/11/2023,0.729213297,Thousands trapped as Israeli forces raid Gaza’s al-Shifa Hospital,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5664,699,15/11/2023,4082,15/11/2023,0.89684397,Thousands trapped as Israeli forces raid Gaza’s al-Shifa Hospital,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,1
5750,705,14/11/2023,4082,15/11/2023,0.758176565,Gaza’s al-Shifa Hospital forced to bury dead patients in ‘mass grave’,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,0
5839,711,14/11/2023,4072,15/11/2023,0.705743074,"Out of medicines, care: Gaza’s cancer patients face death amid Israel war",Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,0
5954,719,13/11/2023,4092,13/11/2023,0.715311289,‘Patients are dying’: What we know about Gaza hospitals under Israeli siege,Doctors race to save newborns as Israel says it’s battling Hamas around Gaza’s largest hospital,0
6009,724,13/11/2023,4092,13/11/2023,0.722956419,"Gaza’s Aqsa hospital warns patients, babies may end up in mass graves soon",Doctors race to save newborns as Israel says it’s battling Hamas around Gaza’s largest hospital,1
6072,730,12/11/2023,4096,11/11/2023,0.754593194,Gaza’s al-Quds Hospital ceases operations amid Israeli attacks,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6073,730,12/11/2023,4097,11/11/2023,0.705503345,Gaza’s al-Quds Hospital ceases operations amid Israeli attacks,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,0
6117,735,12/11/2023,4096,11/11/2023,0.769847393,How are Gaza casualty updates affected by Israeli attacks on hospitals?,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6201,743,11/11/2023,4096,11/11/2023,0.774192691,‘We are minutes away from death’: Gaza’s al-Shifa Hospital under attack,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6202,743,11/11/2023,4097,11/11/2023,0.754769504,‘We are minutes away from death’: Gaza’s al-Shifa Hospital under attack,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,1
6205,743,11/11/2023,4100,10/11/2023,0.743045509,‘We are minutes away from death’: Gaza’s al-Shifa Hospital under attack,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,0
6210,743,11/11/2023,4105,10/11/2023,0.700864315,‘We are minutes away from death’: Gaza’s al-Shifa Hospital under attack,‘A death sentence’: British doctor flees Gaza but is sent back to war zone,0
6364,754,10/11/2023,4096,11/11/2023,0.813086152,Health centres in north Gaza under siege in ‘day of war against hospitals’,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6365,754,10/11/2023,4097,11/11/2023,0.752730548,Health centres in north Gaza under siege in ‘day of war against hospitals’,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,0
6368,754,10/11/2023,4100,10/11/2023,0.783485174,Health centres in north Gaza under siege in ‘day of war against hospitals’,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,0
6398,756,10/11/2023,4096,11/11/2023,0.803958178,Which of Gaza’s hospitals is Israel threatening?,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6399,756,10/11/2023,4097,11/11/2023,0.771600842,Which of Gaza’s hospitals is Israel threatening?,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,0
6402,756,10/11/2023,4100,10/11/2023,0.818286002,Which of Gaza’s hospitals is Israel threatening?,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,0
6500,762,10/11/2023,4096,11/11/2023,0.841008246,"Israel strikes Gaza’s biggest hospital complex, health officials say","Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",0
6504,762,10/11/2023,4100,10/11/2023,0.831336558,"Israel strikes Gaza’s biggest hospital complex, health officials say",Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,0
6569,766,09/11/2023,4108,09/11/2023,0.881574988,"Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza, US says","Israel will begin 4-hour pauses in military operations in Gaza each day, White House says",1
6806,783,08/11/2023,4117,08/11/2023,0.803203762,Thousands flee northern Gaza in ‘desperate journey’ during Israel war,‘Nothing is left’: Thousands of Palestinians flee south as Israel steps up Gaza City offensive,1
6956,796,07/11/2023,4117,08/11/2023,0.748637736,One month of Israel’s war: What’s happening to Palestinians outside Gaza?,‘Nothing is left’: Thousands of Palestinians flee south as Israel steps up Gaza City offensive,0
6962,796,07/11/2023,4124,07/11/2023,0.743544817,One month of Israel’s war: What’s happening to Palestinians outside Gaza?,The world is turning against Israel’s war in Gaza – and many Israelis don’t understand why,0
7124,810,06/11/2023,4114,06/11/2023,0.78705287,"More than 10,000 Palestinians killed in Israeli attacks on Gaza","More than 10,000 killed in Gaza, Hamas-controlled health ministry says, as condemnation of Israel’s campaign grows",1
7294,822,05/11/2023,4127,05/11/2023,0.728561759,‘Intense bombings’ by Israeli forces around Gaza hospitals amid blackout,‘The whole building fell on us’: Blast at refugee camp in central Gaza kills dozens,0
7333,825,05/11/2023,4127,05/11/2023,0.767519355,"‘True massacre’: Gaza child casualties cross 4,000 as Israeli raids expand",‘The whole building fell on us’: Blast at refugee camp in central Gaza kills dozens,0
7375,828,05/11/2023,4130,05/11/2023,0.772967219,"Israel-Hamas war: Abbas meets Blinken, joins Arab leaders’ ceasefire call",Blinken meets Palestinian Authority President Abbas in West Bank amid growing settler violence,1
7411,831,05/11/2023,4127,05/11/2023,0.728907824,"Israel bombs al-Maghazi refugee camp, killing dozens, Gaza officials say",‘The whole building fell on us’: Blast at refugee camp in central Gaza kills dozens,1
7451,833,04/11/2023,4143,03/11/2023,0.725767136,Blinken reaffirms US support for ‘humanitarian pauses’ in Gaza,Blinken in Israel: ‘We need to do more to protect Palestinian civilians’,0
7455,834,04/11/2023,4127,05/11/2023,0.748432398,‘Extremely challenging’: Israel’s Gaza ground assault faces stumbles,‘The whole building fell on us’: Blast at refugee camp in central Gaza kills dozens,0
7459,834,04/11/2023,4131,05/11/2023,0.73536098,‘Extremely challenging’: Israel’s Gaza ground assault faces stumbles,‘The reaction is extreme’: Palestinians fear arrest if they voice sympathy for Gaza civilians,0
7557,840,04/11/2023,4127,05/11/2023,0.710985959,‘We have nothing’: Families seek safety from bombs inside Gaza hospitals,‘The whole building fell on us’: Blast at refugee camp in central Gaza kills dozens,0
7674,846,03/11/2023,4145,03/11/2023,0.716792524,"‘Arrested, tortured and insulted’, say workers returned to Gaza by Israel",Israel expels Gazan workers back to war-torn enclave,1
8011,864,02/11/2023,4146,02/11/2023,0.712705255,Are Israel’s attacks on Gaza’s hospitals legal?,"Surgery without drugs, patients piling up: Gaza’s hospitals overwhelmed amid Israeli strikes and fuel shortages",0
8374,881,01/11/2023,4154,01/11/2023,0.778875411,"Israel-Hamas war: With the Rafah border crossing open, who’s exiting Gaza?","What is the Rafah crossing, Gazans’ last hope to escape the war, and how does it work?",0
8387,882,01/11/2023,4146,02/11/2023,0.720193446,Israeli siege forces Gaza’s only cancer hospital to shut amid fuel shortage,"Surgery without drugs, patients piling up: Gaza’s hospitals overwhelmed amid Israeli strikes and fuel shortages",0
8554,890,01/11/2023,4154,01/11/2023,0.747957468,Rafah crossing linking war-torn Gaza to Egypt opens,"What is the Rafah crossing, Gazans’ last hope to escape the war, and how does it work?",0
8828,903,31/10/2023,4162,01/11/2023,0.751819372,"Yemen’s Houthis say they launched ballistic missiles, drones at Israel",Israel says it thwarted aerial attacks by Yemen’s Houthis near Red Sea,1
8943,909,30/10/2023,4163,31/10/2023,0.716713548,Israeli military says it freed captured soldier in Gaza ground operations,"Israeli forces rescue soldier held by Hamas in special operation, IDF says",1
9172,920,30/10/2023,4173,29/10/2023,0.775548935,Kamala Harris says no US troops to fight in Israel-Hamas war,Harris says US has no intention of sending combat troops to Israel or Gaza,1
9263,925,29/10/2023,4168,30/10/2023,0.836765707,"Biden discusses ‘accelerating’ aid to Gaza in calls with Netanyahu, el-Sisi",Biden pressed Netanyahu to get more humanitarian aid into Gaza as fears grow over conflict escalating,1
9613,943,28/10/2023,4185,27/10/2023,0.719479203,Thousands of Gaza workers go ‘missing’ in Israel amid wartime mass arrests,Hundreds of foreign nationals remain stranded in Gaza as Israel intensifies airstrikes,0
9965,965,26/10/2023,4182,27/10/2023,0.743709207,Why does Biden doubt the Palestinian death count in the Israel-Gaza war?,"Palestinian officials publish names of thousands killed in Gaza, after Biden expresses doubt about death toll",1
10031,968,26/10/2023,4190,25/10/2023,0.782429934,Arab world condemns Al Jazeera journalist’s family killing in Israeli raid,"Journalist’s family was killed in Gaza strike, says Al Jazeera",0
10032,968,26/10/2023,4191,26/10/2023,0.755607247,Arab world condemns Al Jazeera journalist’s family killing in Israeli raid,An Al Jazeera journalist learned his family had been killed while on the air. It offered the world a glimpse of the horrors in Gaza,0
10207,977,25/10/2023,4190,25/10/2023,0.725225568,Al Jazeera condemns Israeli killing of journalist Wael Al-Dahdouh’s family,"Journalist’s family was killed in Gaza strike, says Al Jazeera",0
10251,979,25/10/2023,4190,25/10/2023,0.806507826,Family of Al Jazeera Gaza bureau chief killed in Israeli air raid,"Journalist’s family was killed in Gaza strike, says Al Jazeera",1
10252,979,25/10/2023,4191,26/10/2023,0.750030398,Family of Al Jazeera Gaza bureau chief killed in Israeli air raid,An Al Jazeera journalist learned his family had been killed while on the air. It offered the world a glimpse of the horrors in Gaza,0
10278,980,25/10/2023,4196,26/10/2023,0.785859168,"As US resists ceasefire calls, what is Biden’s endgame in Gaza?",The Biden coalition risks a damaging break over the US role in Israel’s response in Gaza,0
10484,989,25/10/2023,4204,25/10/2023,0.824025333,"Israel-Hamas war affecting regional economies, warns IMF head",IMF says Israel-Hamas war likely to hit neighboring economies,1
10950,1009,23/10/2023,4222,23/10/2023,0.71384871,Hamas releases two women held hostage after Egyptian-Qatari diplomacy,Hamas releases two more hostages as Israel ramps up Gaza strikes,1
11055,1015,23/10/2023,4207,24/10/2023,0.723582864,"Gaza death toll tops 5,000, nearly half of them children: Officials","2,000 children killed in Gaza, aid group says, as tempers flare at UN amid ceasefire calls",1
11076,1016,23/10/2023,4209,24/10/2023,0.732022643,US ‘urges delay’ in ground invasion as Israel continues to pound Gaza,US military advisers invoke lessons of Iraq in urging Israelis to avoid all-out ground assault in Gaza,0
11087,1016,23/10/2023,4227,22/10/2023,0.720634341,US ‘urges delay’ in ground invasion as Israel continues to pound Gaza,US seeks delay of Israeli ground incursion for more time for hostage talks,1
11251,1026,22/10/2023,4229,21/10/2023,0.72771734,Second aid convoy enters Gaza as Israel steps up bombardments,First trucks carrying aid enter Gaza but besieged enclave desperately needs more,1
11408,1037,21/10/2023,4232,21/10/2023,0.710333407,‘We went through hell’: Palestinian dual citizens hoping to leave Gaza,Palestinian aid worker describes ‘really dire’ conditions for those who have stayed in northern Gaza,0
11468,1041,20/10/2023,4230,20/10/2023,0.703575373,Hamas releases two American hostages from Gaza after Qatari mediation,American mother and daughter taken hostage by Hamas are released as humanitarian crisis in Gaza deepens,1
11493,1042,20/10/2023,4224,21/10/2023,0.790596247,Israel aims to end its responsibility for Gaza as ground offensive looms,"As a ground incursion looms, the big question remains: What is Israel’s plan for Gaza?",0
11499,1042,20/10/2023,4234,20/10/2023,0.708592713,Israel aims to end its responsibility for Gaza as ground offensive looms,US and allies urge Israel to set out clear goals for Gaza ground invasion,0
11520,1043,20/10/2023,4224,21/10/2023,0.824230552,How Israel will stage its land incursion into Gaza,"As a ground incursion looms, the big question remains: What is Israel’s plan for Gaza?",0
