response,cause,effect,is_causal,Alj_Title,response,cause,effect,is_causal,BBC_Title
"{'cause': 'Houthi attacks', 'effect': 'Shipping companies pause Red Sea journeys', 'is_causal': True}",Houthi attacks,Shipping companies pause Red Sea journeys,True,Shipping companies pause Red Sea journeys after Houthi attacks,"{'cause': 'attacks', 'effect': 'Shipping firms pause Red Sea journeys', 'is_causal': True}",attacks,Shipping firms pause Red Sea journeys,True,Shipping firms pause Red Sea journeys over attacks
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel says it will allow two trucks of fuel a day into Gaza
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli tanks besiege Gaza’s Indonesian Hospital,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli tanks surround north Gaza's Indonesian Hospital
"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'in Red Sea', 'is_causal': True}",Yemen’s Houthi rebels seize cargo ship,in Red Sea,True,Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Japan condemns Yemen's Houthi rebels hijack of cargo ship in Red Sea
"{'cause': 'onslaught on Gaza widens', 'effect': 'Israel orders evacuations', 'is_causal': True}",onslaught on Gaza widens,Israel orders evacuations,True,Israel orders evacuations as onslaught on Gaza widens,"{'cause': 'offensive widens', 'effect': 'Israel orders evacuations from city in south Gaza', 'is_causal': True}",offensive widens,Israel orders evacuations from city in south Gaza,True,Israel orders evacuations from city in south Gaza as offensive widens
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Babies evacuated from al-Shifa Hospital to southern Gaza amid Israel war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Gaza war: Premature babies evacuated from al-Shifa hospital
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Turkey arrests seven suspected of selling information to Israel’s Mossad,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Turkey Israel: 'Seven arrested for passing information to Mossad'
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': 'Beirut blast', 'effect': 'Hamas deputy leader Saleh al-Arouri killed', 'is_causal': True}",Beirut blast,Hamas deputy leader Saleh al-Arouri killed,True,Hamas deputy leader Saleh al-Arouri killed in Beirut blast
"{'cause': 'Israel ‘not successful’ in minimising', 'effect': 'Gaza civilian casualties', 'is_causal': True}",Israel ‘not successful’ in minimising,Gaza civilian casualties,True,Israel ‘not successful’ in minimising Gaza civilian casualties: Netanyahu,"{'cause': 'blames Hamas', 'effect': ""Israel 'not successful' at minimising Gaza casualties"", 'is_causal': True}",blames Hamas,Israel 'not successful' at minimising Gaza casualties,True,Netanyahu says Israel 'not successful' at minimising Gaza casualties but blames Hamas
"{'cause': '‘indiscriminate’ Gaza bombing', 'effect': 'Israel risks losing support', 'is_causal': True}",‘indiscriminate’ Gaza bombing,Israel risks losing support,True,Biden warns Israel risks losing support over ‘indiscriminate’ Gaza bombing,"{'cause': 'Israel losing global support', 'effect': 'Gaza bombing', 'is_causal': True}",Israel losing global support,Gaza bombing,True,"Israel losing global support over Gaza bombing, Biden says"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel arrests Palestinian activist Ahed Tamimi in occupied West Bank raids,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ahed Tamimi: Israeli forces arrest Palestinian activist in West Bank
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Hezbollah’s Hassan Nasrallah speech on Israel-Hamas war: Key takeaways,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war
"{'cause': 'Israel-Hamas war comments', 'effect': 'US House votes to censure Rashida Tlaib', 'is_causal': True}",Israel-Hamas war comments,US House votes to censure Rashida Tlaib,True,US House votes to censure Rashida Tlaib over Israel-Hamas war comments,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Rashida Tlaib censured over Israel-Gaza comments
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,US launches new strikes on Houthi targets in Yemen,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,US launches fourth round of strikes on Houthi targets in Yemen
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,"{'cause': 'ICJ says', 'effect': 'Israel must prevent genocide in Gaza', 'is_causal': True}",ICJ says,Israel must prevent genocide in Gaza,True,ICJ says Israel must prevent genocide in Gaza
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Iran denies involvement in drone strike that killed three US troops
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Al Jazeera condemns Israeli forces killing of cameraman Samer Abudaqa,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israel says German-Israeli woman Shani Louk, taken by Hamas, is dead","{'cause': 'Hamas attack', 'effect': 'Shani Louk: Woman missing is dead', 'is_causal': True}",Hamas attack,Shani Louk: Woman missing is dead,True,"Shani Louk: Woman missing after Hamas attack is dead, says mother"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,British FM ‘worried’ Israel may have breached international law in Gaza,"{'cause': 'Israel may have broken international law in Gaza', 'effect': 'David Cameron worried', 'is_causal': True}",Israel may have broken international law in Gaza,David Cameron worried,True,David Cameron worried Israel may have broken international law in Gaza
"{'cause': 'Israeli attack in Gaza', 'effect': 'Al Jazeera journalist Samer Abudaqa killed', 'is_causal': True}",Israeli attack in Gaza,Al Jazeera journalist Samer Abudaqa killed,True,Al Jazeera journalist Samer Abudaqa killed in Israeli attack in Gaza,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel promises to fight South Africa genocide accusation at ICJ,"{'cause': ""South Africa's Gaza genocide claim"", 'effect': 'Israel to fight in court', 'is_causal': True}",South Africa's Gaza genocide claim,Israel to fight in court,True,Israel to fight South Africa's Gaza genocide claim in court
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Al Jazeera condemns Israeli killing of journalist Wael Al-Dahdouh’s family,"{'cause': 'Gaza strike', 'effect': ""Wael Al-Dahdouh: Al Jazeera reporter's family killed"", 'is_causal': True}",Gaza strike,Wael Al-Dahdouh: Al Jazeera reporter's family killed,True,Wael Al-Dahdouh: Al Jazeera reporter's family killed in Gaza strike
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Blinken says Palestinians displaced in Gaza must be able to return home,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Palestinians must be able to stay in Gaza - Blinken
"{'cause': 'mistakenly', 'effect': 'killed three captives held in Gaza', 'is_causal': True}",mistakenly,killed three captives held in Gaza,True,Israeli army says it mistakenly killed three captives held in Gaza,"{'cause': 'IDF mistakenly killed', 'effect': 'three men held in Gaza died', 'is_causal': True}",IDF mistakenly killed,three men held in Gaza died,True,Israel hostages: IDF says it mistakenly killed three men held in Gaza
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,‘A wonderful human’: Al Jazeera colleagues remember Samer Abudaqa,"{'cause': 'Gaza drone strike', 'effect': 'Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Al Jazeera cameraman killed,True,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israel and Hamas agree to extend truce by two days, Qatar says","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israel-Hamas truce in Gaza extended for two days, Qatar says"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Who was Hamas leader Saleh al-Arouri killed in Beirut?
"{'cause': 'Israeli attack in Gaza', 'effect': 'Hamza, son of Al Jazeera’s Wael Dahdouh, killed', 'is_causal': True}",Israeli attack in Gaza,"Hamza, son of Al Jazeera’s Wael Dahdouh, killed",True,"Hamza, son of Al Jazeera’s Wael Dahdouh, killed in Israeli attack in Gaza","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Al Jazeera bureau chief's son Hamza al-Dahdouh among journalists killed in Gaza
"{'cause': 'Israeli army mistakenly killed', 'effect': 'three captives held in Gaza', 'is_causal': True}",Israeli army mistakenly killed,three captives held in Gaza,True,Israeli army says it mistakenly killed three captives held in Gaza,"{'cause': 'mistakenly killed', 'effect': 'three hostages in Gaza campaign', 'is_causal': True}",mistakenly killed,three hostages in Gaza campaign,True,Israel says it mistakenly killed three hostages in Gaza campaign
"{'cause': 'dispute with US', 'effect': 'Iran seizes oil tanker off Oman', 'is_causal': True}",dispute with US,Iran seizes oil tanker off Oman,True,Iran seizes oil tanker off Oman in dispute with US,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Iran seizes oil tanker St Nikolas near Oman
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,ICJ orders Israel to prevent acts of genocide in Gaza,"{'cause': 'Israel must prevent genocide in Gaza', 'effect': 'ICJ says', 'is_causal': True}",Israel must prevent genocide in Gaza,ICJ says,True,ICJ says Israel must prevent genocide in Gaza
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Qatar ‘appalled’ at alleged Netanyahu criticism of mediation in Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Qatar 'appalled' by reported criticism from Israel's Netanyahu
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"What is Tower 22, the Jordan-based US outpost targeted in a drone strike?","{'cause': '', 'effect': '', 'is_causal': False}",,,False,US drone attack: What is Tower 22 and why are US troops in Jordan?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Netanyahu says Israel to manage Gaza’s security indefinitely after the war,"{'cause': 'war', 'effect': 'Israel will have security control over Gaza', 'is_causal': True}",war,Israel will have security control over Gaza,True,Netanyahu says Israel will have security control over Gaza after war
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Three killed, several injured in shooting at Jerusalem bus stop","{'cause': 'by Palestinian gunmen', 'effect': 'Three Israelis killed', 'is_causal': True}",by Palestinian gunmen,Three Israelis killed,True,Three Israelis killed by Palestinian gunmen at Jerusalem bus stop
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"US approves plan to strike Iranian targets in Syria and Iraq, officials say"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Hamas deputy leader Saleh al-Arouri killed in Beirut blast
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Palestinians break into Gaza UN aid warehouses as toll tops 8,000","{'cause': 'search of aid', 'effect': 'Thousands in Gaza break into warehouses', 'is_causal': True}",search of aid,Thousands in Gaza break into warehouses,True,UN: Thousands in Gaza break into warehouses in search of aid
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel’s raid on Gaza’s al-Shifa Hospital: Here’s what you need to know,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Al-Shifa: What we know about Israel's raid on Gaza's main hospital
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,President el-Sisi declared victorious in Egypt election,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Egypt election: President Sisi wins third term
"{'cause': 'Israeli air attack on Jabalia refugee camp', 'effect': 'Dozens killed', 'is_causal': True}",Israeli air attack on Jabalia refugee camp,Dozens killed,True,Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,"{'cause': 'Israel air strike', 'effect': 'kills dozens at Gaza refugee camp', 'is_causal': True}",Israel air strike,kills dozens at Gaza refugee camp,True,Jabalia: Israel air strike reportedly kills dozens at Gaza refugee camp
"{'cause': 'Israeli air strike in Syria', 'effect': 'kills top Iranian military adviser', 'is_causal': True}",Israeli air strike in Syria,kills top Iranian military adviser,True,Israeli air strike in Syria kills top Iranian military adviser,"{'cause': 'Israeli strike in Syria', 'effect': 'kills Iranian commander', 'is_causal': True}",Israeli strike in Syria,kills Iranian commander,True,"Israeli strike in Syria kills Iranian commander, Iran says"
"{'cause': 'Yemen’s Houthis hit US-owned ship in missile attack', 'effect': 'US military says', 'is_causal': True}",Yemen’s Houthis hit US-owned ship in missile attack,US military says,True,"Yemen’s Houthis hit US-owned ship in missile attack, US military says","{'cause': ""after 'terror' designation"", 'effect': 'Houthis hit US-owned ship', 'is_causal': True}",after 'terror' designation,Houthis hit US-owned ship,True,Yemen strikes: Houthis hit US-owned ship after 'terror' designation
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,ICJ hears South Africa’s genocide case against Israel over Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel says South Africa distorting the truth in ICJ genocide case
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Saleh al-Arouri: Thousands attend Hamas deputy leader's funeral in Beirut
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Al Jazeera to refer journalist Samer Abudaqa’s killing to ICC,"{'cause': 'Gaza drone strike', 'effect': 'Samer Abudaqa: Al Jazeera cameraman killed', 'is_causal': True}",Gaza drone strike,Samer Abudaqa: Al Jazeera cameraman killed,True,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike
"{'cause': 'UN Security Council delays vote on aid', 'effect': 'Gaza death toll surpasses 20,000', 'is_causal': True}",UN Security Council delays vote on aid,"Gaza death toll surpasses 20,000",True,"Gaza death toll surpasses 20,000 as UN Security Council delays vote on aid","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Blinken says civilian death toll in Gaza ‘far too high’,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Daily toll on Gazan civilians, especially children, 'far too high' - Blinken"
"{'cause': 'Gaza’s al-Shifa Hospital forced to', 'effect': 'bury dead patients in ‘mass grave’', 'is_causal': True}",Gaza’s al-Shifa Hospital forced to,bury dead patients in ‘mass grave’,True,Gaza’s al-Shifa Hospital forced to bury dead patients in ‘mass grave’,"{'cause': 'Gaza hospital unable to bury dead bodies', 'effect': 'WHO says', 'is_causal': True}",Gaza hospital unable to bury dead bodies,WHO says,True,Al-Shifa: WHO says Gaza hospital unable to bury dead bodies
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Blinken says civilian death toll in Gaza ‘far too high’,"{'cause': 'Israel-Gaza war', 'effect': 'cost of conflict on children far too high', 'is_causal': True}",Israel-Gaza war,cost of conflict on children far too high,True,Israel-Gaza war: Blinken says cost of conflict on children far too high
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report","{'cause': '', 'effect': '', 'is_causal': False}",,,False,US says strikes on Iran-linked targets in Iraq and Syria just 'the beginning' - live updates
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Yemen’s Houthis claim missile attack on Norwegian ship Strinda,"{'cause': ""Yemen's rebel Houthis hit Norwegian tanker with missile"", 'effect': '', 'is_causal': False}",Yemen's rebel Houthis hit Norwegian tanker with missile,,False,MK Strinda: Yemen's rebel Houthis hit Norwegian tanker with missile
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel raids Gaza’s al-Shifa Hospital for second day,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel finds second hostage body near Al-Shifa hospital
"{'cause': 'run out of fuel in 48 hours', 'effect': 'Gaza hospital generators to', 'is_causal': True}",run out of fuel in 48 hours,Gaza hospital generators to,True,Gaza hospital generators to run out of fuel in 48 hours: Health Ministry,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Gaza strikes: Hamas-run health ministry says 700 killed in 24 hours
"{'cause': 'Jordan drone attack', 'effect': 'Three US service members killed', 'is_causal': True}",Jordan drone attack,Three US service members killed,True,"Three US service members killed in Jordan drone attack, Biden says","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Three US soldiers killed in Jordan attack named
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Palestinians detained by Israel in Gaza blindfolded, stripped to underwear","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Video shows stripped Palestinian men detained in Gaza
"{'cause': 'Israeli air attack on Jabalia refugee camp', 'effect': 'Dozens killed', 'is_causal': True}",Israeli air attack on Jabalia refugee camp,Dozens killed,True,Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Dozens reported killed in Gaza refugee camp blast
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,ICJ hears South Africa’s genocide case against Israel over Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,South Africa's genocide case against Israel: Both sides play heavy on emotion in ICJ hearing
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Iran dismisses US accusations of tanker attack off India,"{'cause': 'drone from Iran', 'effect': 'Tanker hit off India coast', 'is_causal': True}",drone from Iran,Tanker hit off India coast,True,"Tanker hit off India coast by drone from Iran, says US"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli defence minister outlines new phase in Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli minister outlines plans for Gaza after war
"{'cause': 'Israeli siege', 'effect': 'Disease could kill more in Gaza than bombs', 'is_causal': True}",Israeli siege,Disease could kill more in Gaza than bombs,True,"Disease could kill more in Gaza than bombs, WHO says amid Israeli siege","{'cause': 'Untreated diseases', 'effect': 'could kill more than bombings in Gaza', 'is_causal': True}",Untreated diseases,could kill more than bombings in Gaza,True,"Untreated diseases could kill more than bombings in Gaza, WHO warns"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,‘All scenarios open’: Hezbollah chief in first speech since Israel-Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"CIA, Mossad chiefs meet in Qatar as Israel-Hamas truce is extended","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israel-Hamas truce in Gaza extended for two days, Qatar says"
"{'cause': 'dispute with US', 'effect': 'Iran seizes oil tanker off Oman', 'is_causal': True}",dispute with US,Iran seizes oil tanker off Oman,True,Iran seizes oil tanker off Oman in dispute with US,"{'cause': 'Iran seizes tanker', 'effect': 'Oil prices rise', 'is_causal': True}",Iran seizes tanker,Oil prices rise,True,Oil prices rise after Iran seizes tanker
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Defiant Houthis claim fresh Red Sea attacks on US, UK ships","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Houthis claim new attacks on Red Sea shipping
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Three US soldiers killed in Jordan attack named
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Why is Gaza’s al-Shifa Hospital so important for the Israeli army?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,BBC goes inside Al-Shifa hospital with the Israeli army
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Namibia condemns Germany for defending Israel in ICJ genocide case,"{'cause': 'South Africa distorting the truth', 'effect': 'Israel says', 'is_causal': True}",South Africa distorting the truth,Israel says,True,Israel says South Africa distorting the truth in ICJ genocide case
"{'cause': 'Attack on Syrian US base', 'effect': 'kills Kurdish fighters', 'is_causal': True}",Attack on Syrian US base,kills Kurdish fighters,True,Attack on Syrian US base kills Kurdish fighters as regional tension simmers,"{'cause': 'Drone attack', 'effect': 'kills six Kurdish-led fighters at US base in east Syria', 'is_causal': True}",Drone attack,kills six Kurdish-led fighters at US base in east Syria,True,Drone attack kills six Kurdish-led fighters at US base in east Syria
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Shapps 'disappointed' by Netanyahu opposition to Palestinian state
"{'cause': 'Israeli attacks', 'effect': 'Group of 28 premature Gaza babies evacuated to Egypt', 'is_causal': True}",Israeli attacks,Group of 28 premature Gaza babies evacuated to Egypt,True,Group of 28 premature Gaza babies evacuated to Egypt amid Israeli attacks,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Gaza war: Premature babies evacuated from al-Shifa hospital
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Rafah crossing linking war-torn Gaza to Egypt opens,"{'cause': 'evacuate injured and foreign nationals', 'effect': 'Egypt opens Gaza border crossing', 'is_causal': True}",evacuate injured and foreign nationals,Egypt opens Gaza border crossing,True,Egypt opens Gaza border crossing to evacuate injured and foreign nationals
"{'cause': 'Israeli forces kill', 'effect': 'Palestinian children in occupied West Bank raid', 'is_causal': True}",Israeli forces kill,Palestinian children in occupied West Bank raid,True,Israeli forces kill two Palestinian children in occupied West Bank raid,"{'cause': 'Israeli raid in West Bank', 'effect': 'Two Palestinian boys killed', 'is_causal': True}",Israeli raid in West Bank,Two Palestinian boys killed,True,Two Palestinian boys killed during Israeli raid in West Bank
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Putin makes rare trip to Middle East to meet with UAE and Saudi leaders,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Putin makes rare foreign trip to Gulf states
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israeli army arrests al-Shifa Hospital director, other doctors in Gaza","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli forces detain director of Gaza's al-Shifa Hospital
"{'cause': 'Jordan drone attack', 'effect': 'Three US service members killed', 'is_causal': True}",Jordan drone attack,Three US service members killed,True,"Three US service members killed in Jordan drone attack, Biden says","{'cause': 'US drone attack', 'effect': 'Three US troops killed in drone strike on US base in Middle East', 'is_causal': True}",US drone attack,Three US troops killed in drone strike on US base in Middle East,True,US drone attack: Three US troops killed in drone strike on US base in Middle East
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Hamas releases video of three Gaza hostages addressing Netanyahu,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel's Netanyahu condemns 'cruel' Hamas video of Israeli hostages
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"CIA, Mossad chiefs meet in Qatar as Israel-Hamas truce is extended","{'cause': 'more hostages freed', 'effect': 'Israel-Hamas truce in Gaza extended', 'is_causal': True}",more hostages freed,Israel-Hamas truce in Gaza extended,True,Israel-Hamas truce in Gaza extended as more hostages freed
"{'cause': 'Houthis Red Sea attacks', 'effect': 'US-led coalition warns Houthis of ‘consequences’', 'is_causal': True}",Houthis Red Sea attacks,US-led coalition warns Houthis of ‘consequences’,True,US-led coalition warns Houthis of ‘consequences’ after Red Sea attacks,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Houthis defiant after warning over Red Sea attacks
